category,path,line,source
unbounded_wait,applications/external/air_arkanoid/engine/game_engine.c,123,"furi_thread_flags_wait(GameThreadFlagMask, FuriFlagWaitAny, FuriWaitForever);"
explicit_delay,applications/external/air_arkanoid/engine/game_engine.c,160,furi_delay_tick(2);
explicit_delay,applications/external/air_arkanoid/engine/sensors/ICM42688P/ICM42688P.c,251,furi_delay_ms(1);
explicit_delay,applications/external/air_arkanoid/engine/sensors/ICM42688P/ICM42688P.c,282,furi_delay_ms(45);
explicit_delay,applications/external/air_arkanoid/engine/sensors/imu.c,87,furi_delay_ms(10);
explicit_delay,applications/external/air_arkanoid/engine/sensors/imu.c,98,furi_delay_ms(2);
unbounded_wait,applications/external/air_arkanoid/engine/sensors/imu.c,146,"uint32_t events = furi_thread_flags_wait(FLAGS_ALL, FuriFlagWaitAny, FuriWaitForever);"
thread_join,applications/external/air_arkanoid/engine/sensors/imu.c,182,furi_thread_join(imu->thread);
unbounded_wait,applications/external/air_labyrinth/engine/game_engine.c,145,"furi_thread_flags_wait(GameThreadFlagMask, FuriFlagWaitAny, FuriWaitForever);"
explicit_delay,applications/external/air_labyrinth/engine/game_engine.c,182,furi_delay_tick(2);
explicit_delay,applications/external/air_labyrinth/engine/sensors/ICM42688P/ICM42688P.c,251,furi_delay_ms(1);
explicit_delay,applications/external/air_labyrinth/engine/sensors/ICM42688P/ICM42688P.c,282,furi_delay_ms(45);
explicit_delay,applications/external/air_labyrinth/engine/sensors/imu.c,88,furi_delay_ms(10);
explicit_delay,applications/external/air_labyrinth/engine/sensors/imu.c,99,furi_delay_ms(2);
unbounded_wait,applications/external/air_labyrinth/engine/sensors/imu.c,147,"uint32_t events = furi_thread_flags_wait(FLAGS_ALL, FuriFlagWaitAny, FuriWaitForever);"
thread_join,applications/external/air_labyrinth/engine/sensors/imu.c,183,furi_thread_join(imu->thread);
timer_or_ui_cadence,applications/external/airmouse/air_mouse.c,134,"view_dispatcher_set_tick_event_callback(app->view_dispatcher, NULL, furi_ms_to_ticks(10));"
unbounded_wait,applications/external/airmouse/views/bt_mouse.c,80,"furi_mutex_acquire(bt_mouse->mutex, FuriWaitForever);"
unbounded_wait,applications/external/airmouse/views/bt_mouse.c,164,"furi_mutex_acquire(bt_mouse->mutex, FuriWaitForever);"
unbounded_wait,applications/external/airmouse/views/bt_mouse.c,189,"furi_thread_flags_wait(BT_MOUSE_FLAG_ALL, FuriFlagWaitAny, FuriWaitForever);"
unbounded_wait,applications/external/airmouse/views/bt_mouse.c,194,"furi_mutex_acquire(bt_mouse->mutex, FuriWaitForever);"
thread_join,applications/external/airmouse/views/bt_mouse.c,250,furi_thread_join(bt_mouse->thread);
explicit_delay,applications/external/airmouse/views/bt_mouse.c,269,furi_delay_ms(200);
timer_or_ui_cadence,applications/external/airmouse/views/bt_mouse.c,281,view_dispatcher_set_tick_event_callback(
explicit_delay,applications/external/airmouse/views/bt_mouse.c,289,furi_delay_ms(200);
explicit_delay,applications/external/airmouse/views/bt_mouse.c,295,furi_delay_ms(200);
timer_or_ui_cadence,applications/external/airmouse/views/bt_mouse.c,306,"view_dispatcher_set_tick_event_callback(bt_mouse->view_dispatcher, NULL, FuriWaitForever);"
unbounded_wait,applications/external/airmouse/views/bt_mouse.c,306,"view_dispatcher_set_tick_event_callback(bt_mouse->view_dispatcher, NULL, FuriWaitForever);"
explicit_delay,applications/external/airmouse/views/bt_mouse.c,315,furi_delay_ms(200);
timer_or_ui_cadence,applications/external/airmouse/views/usb_mouse.c,99,view_dispatcher_set_tick_event_callback(
timer_or_ui_cadence,applications/external/airmouse/views/usb_mouse.c,107,"view_dispatcher_set_tick_event_callback(usb_mouse->view_dispatcher, NULL, FuriWaitForever);"
unbounded_wait,applications/external/airmouse/views/usb_mouse.c,107,"view_dispatcher_set_tick_event_callback(usb_mouse->view_dispatcher, NULL, FuriWaitForever);"
timer_or_ui_cadence,applications/external/ami_tool/ami_tool.c,31,view_dispatcher_set_tick_event_callback(
thread_join,applications/external/ami_tool/ami_tool.c,175,furi_thread_join(app->read_thread);
explicit_delay,applications/external/ami_tool/helpers/ami_tool_info.c,1191,furi_delay_ms(100);
thread_join,applications/external/ami_tool/helpers/ami_tool_info.c,1577,furi_thread_join(app->write_thread);
thread_join,applications/external/ami_tool/helpers/ami_tool_info.c,1641,furi_thread_join(app->write_thread);
unbounded_wait,applications/external/ami_tool/helpers/ami_tool_write.c,187,"furi_thread_flags_wait(AMI_TOOL_WRITE_COMPLETE_EVENT, FuriFlagWaitAny, FuriWaitForever);"
unbounded_wait,applications/external/ami_tool/scenes/ami_tool_scene_bluetooth.c,22,"furi_check(furi_mutex_acquire(app->bt_mutex, FuriWaitForever) == FuriStatusOk);"
unbounded_wait,applications/external/ami_tool/scenes/ami_tool_scene_bluetooth.c,31,"furi_check(furi_mutex_acquire(app->bt_mutex, FuriWaitForever) == FuriStatusOk);"
unbounded_wait,applications/external/ami_tool/scenes/ami_tool_scene_bluetooth.c,209,"furi_check(furi_mutex_acquire(app->bt_mutex, FuriWaitForever) == FuriStatusOk);"
unbounded_wait,applications/external/ami_tool/scenes/ami_tool_scene_bluetooth.c,229,"furi_check(furi_mutex_acquire(app->bt_mutex, FuriWaitForever) == FuriStatusOk);"
thread_join,applications/external/ami_tool/scenes/ami_tool_scene_read.c,23,furi_thread_join(app->read_thread);
explicit_delay,applications/external/ami_tool/scenes/ami_tool_scene_read.c,129,furi_delay_ms(100);
unbounded_wait,applications/external/arkanoid/arkanoid_game.c,319,"furi_mutex_acquire(arkanoid_state->mutex, FuriWaitForever);"
unbounded_wait,applications/external/arkanoid/arkanoid_game.c,366,"furi_message_queue_put(event_queue, &event, FuriWaitForever);"
timer_or_ui_cadence,applications/external/arkanoid/arkanoid_game.c,400,"furi_timer_start(timer, furi_kernel_get_tick_frequency() / 22);"
unbounded_wait,applications/external/arkanoid/arkanoid_game.c,412,"furi_mutex_acquire(arkanoid_state->mutex, FuriWaitForever);"
unbounded_wait,applications/external/asteroids/app.c,1512,"furi_message_queue_put(app->event_queue, input_event, FuriWaitForever);"
timer_or_ui_cadence,applications/external/asteroids/app.c,1583,"furi_timer_start(timer, furi_kernel_get_tick_frequency() / 10);"
timer_or_ui_cadence,applications/external/asteroids/app.c,1607,"furi_timer_start(timer, furi_kernel_get_tick_frequency() / 10);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,47,"furi_mutex_acquire(mutexVal->mutex, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,127,"furi_message_queue_put(event_queue, &event, FuriWaitForever);"
timer_or_ui_cadence,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,197,"furi_timer_start(timer, 1000);"
explicit_delay,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,206,furi_delay_ms(10);
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,231,"FuriStatus event_status = furi_message_queue_get(event_queue, &event, FuriWaitForever);"
unbounded_wait,applications/external/atomicdiceroller/flipper_atomicdiceroller.c,242,"furi_mutex_acquire(mutexVal.mutex, FuriWaitForever);"
